text,label
I got full marks on my maths test,Happy
My project worked perfectly,Happy
I finally fixed the bug in my code,Happy
School finished early today,Happy
I won my first Yu-Gi-Oh match,Happy
My ESP32 uploaded successfully,Happy
I had a great day with my friends,Happy
I finished my homework before dinner,Happy
I built my circuit correctly on the first try,Happy
The teacher liked my project,Happy
I got a new deck for Yu-Gi-Oh,Happy
My website is finally working,Happy
I solved a difficult maths question,Happy
My PCB arrived today,Happy
I completed my project ahead of schedule,Happy
I ate toast for breakfast,Neutral
Today is Wednesday,Neutral
I walked to school,Neutral
I am learning Python,Neutral
The weather is cloudy,Neutral
I organized my desk,Neutral
I watched a video about ducks,Neutral
I have maths class tomorrow,Neutral
I plugged in my computer,Neutral
I updated my notes,Neutral
I drank a glass of water,Neutral
I checked my email this morning,Neutral
The bus arrived on time,Neutral
I opened Visual Studio Code,Neutral
I am working on a project,Neutral
I failed my science test,Sad
My code still does not work,Sad
I forgot to submit my assignment,Sad
I lost my USB drive,Sad
My project stopped working,Sad
I got stuck on my homework,Sad
I missed the bus this morning,Sad
I accidentally deleted my files,Sad
My ESP32 will not connect,Sad
I broke a component on my PCB,Sad
The server crashed again,Sad
I forgot my password,Sad
My computer froze during class,Sad
I lost my maths worksheet,Sad
The circuit refuses to work,Sad
I am excited for the holidays,Happy
My team won the competition,Happy
I received a good grade on my assignment,Happy
The new game I bought is really fun,Happy
I finally understood the maths lesson,Happy
My teacher praised my work,Happy
I completed my coding challenge,Happy
I found the solution to a difficult problem,Happy
I am proud of my achievements,Happy
The weather is beautiful today,Happy
I got accepted into the program,Happy
My friends surprised me with a gift,Happy
I learned something new today,Happy
My presentation went well,Happy
I reached my goal for the month,Happy
I am sitting at my desk,Neutral
The library opens at nine o clock,Neutral
I need to charge my laptop,Neutral
I have science class after lunch,Neutral
The clock says three thirty,Neutral
I am reading a book,Neutral
I packed my school bag,Neutral
The lights are turned on,Neutral
I am writing notes for class,Neutral
The train arrives every fifteen minutes,Neutral
I have a meeting later today,Neutral
The screen brightness is set to fifty percent,Neutral
I downloaded a new software update,Neutral
There is a bird outside the window,Neutral
I cleaned my keyboard,Neutral
I am worried about the upcoming exam,Sad
The internet stopped working,Sad
My laptop battery died during class,Sad
I lost an hour of work because I forgot to save,Sad
Nobody replied to my message,Sad
I made a mistake in my assignment,Sad
I dropped my phone on the floor,Sad
My favourite game crashed,Sad
The printer is not working again,Sad
I feel frustrated with this problem,Sad
I cannot figure out this bug,Sad
The file became corrupted,Sad
I am disappointed with my results,Sad
I forgot to bring my calculator,Sad
My plans were cancelled,Sad
I love my life,Happy
I hate myself,Sad
The duck has become self aware,Chaos
My toaster learned Python,Chaos
I accidentally trained a duck to code,Chaos
The rubber duck demands more RAM,Chaos
The server is powered by bread,Chaos
I exploded my toaster,Chaos
